,first,last,nickname,height_inches,weight_lbs,reach_inches,stance,win,loss,draw,belt
2536,Hugo,Sandoval,,,135,--,,2.0,2.0,0.0,
2537,Raul,Sandoval,,,130,--,,3.0,3.0,0.0,
2538,Joseph,Sandoval,,67.0,135,--,Southpaw,6.0,2.0,0.0,
2539,Hector,Sandoval,Kid Alex,62.0,125,64.0,Orthodox,14.0,4.0,0.0,
2540,Chris,Sanford,,71.0,185,--,Orthodox,5.0,1.0,0.0,
2541,Roldan,Sangcha-an,The Executioner,64.0,125,65.0,Orthodox,4.0,2.0,0.0,
2542,Yuhi,Sano,,71.0,243,--,Orthodox,0.0,4.0,0.0,
2543,Jonathan,Santa Maria,,69.0,125,--,,3.0,4.0,0.0,
2544,Sean,Santella,Shorty Rock,65.0,125,--,,15.0,5.0,1.0,
2545,Jorge,Santiago,The Sandman,73.0,170,74.0,Orthodox,25.0,11.0,0.0,
2546,Mike,Santiago,,70.0,145,69.0,Orthodox,21.0,12.0,0.0,
2547,Will,Santiago,The Brown Bomber,67.0,185,--,Orthodox,9.0,4.0,0.0,
2548,Jose,Santibanez,,,155,--,,10.0,3.0,0.0,
2549,Art,Santore,Pachuco,74.0,185,--,,18.0,8.0,0.0,
2550,Adriano,Santos,,,--,--,,0.0,1.0,0.0,
2551,Paulo,Santos,,,--,--,,0.0,3.0,0.0,
2552,Evangelista,Santos,Cyborg,70.0,170,76.0,Orthodox,18.0,15.0,0.0,
2553,Luis,Santos,,73.0,170,--,Southpaw,50.0,7.0,1.0,
2554,Iliarde,Santos,,65.0,125,66.0,Orthodox,27.0,9.0,1.0,
2555,Leonardo,Santos,Nenhum,72.0,155,75.0,Orthodox,16.0,4.0,1.0,
2556,Thiago,Santos,Marreta,74.0,205,76.0,Orthodox,20.0,6.0,0.0,
2557,Bruno,Santos,Carioca,69.0,185,69.0,Orthodox,14.0,2.0,0.0,
2558,Andre,Santos,Chatuba,72.0,170,--,,38.0,10.0,0.0,
2559,Gleristone,Santos,Toninho Furia,69.0,145,--,,33.0,7.0,0.0,
2560,Taila,Santos,,65.0,125,--,Orthodox,15.0,0.0,0.0,
2561,Nick,Sanzo,,69.0,190,--,,1.0,1.0,0.0,
2562,Bob,Sapp,The Beast,77.0,350,--,Orthodox,11.0,8.0,0.0,
2563,Daniel,Sarafian,,69.0,185,73.0,Orthodox,10.0,6.0,0.0,
